Image;Emotion;Trajectory
fear_0936;N;<681.0,1607.0,0.0>,<678.0,1596.0,47.0>,<670.348,1573.207,59.0>,<665.38904,1554.1671,70.0>,<658.9742,1528.2214,81.0>,<653.6529,1501.2439,92.0>,<648.6637,1475.314,103.0>,<645.6817,1449.4312,114.0>,<642.69006,1422.8304,125.0>,<640.3424,1394.1356,137.0>,<639.6401,1361.4786,148.0>,<641.3316,1319.6862,159.0>,<643.3095,1282.8693,170.0>,<648.9113,1248.5321,181.0>,<656.53156,1211.9751,192.0>,<667.20483,1174.4626,203.0>,<677.1135,1142.0367,214.0>,<686.45776,1113.0123,225.0>,<694.4029,1087.7913,237.0>,<702.48553,1066.7861,248.0>,<711.6387,1048.1484,259.0>,<721.0,1038.0,267.0>,<721.0,1038.0,272.0>,
awe_0872;P;<693.0,1569.0,0.0>,<691.0,1565.0,100.0>,<686.64795,1548.2678,115.0>,<683.68414,1532.0785,126.0>,<679.6819,1511.0914,137.0>,<676.0207,1480.1448,148.0>,<671.6731,1437.4039,159.0>,<668.35364,1392.134,170.0>,<668.0,1345.2688,181.0>,<674.5779,1299.9585,193.0>,<677.63635,1268.0907,204.0>,<685.2814,1242.9523,215.0>,<690.9037,1221.0199,226.0>,<696.8874,1200.0797,237.0>,<701.22614,1178.2563,248.0>,<706.83514,1156.6594,259.0>,<713.3802,1132.2643,270.0>,<721.98334,1105.2434,281.0>,<731.98456,1080.2401,293.0>,<742.52686,1057.1218,304.0>,<751.386,1036.6316,315.0>,<758.32465,1019.3507,326.0>,<764.7558,1004.9031,337.0>,<771.7122,993.57556,348.0>,<779.28564,983.71436,359.0>,<788.27484,976.2938,370.0>,<796.0,972.0,378.0>,<796.0,972.0,384.0>,
excitement_0240;P;<684.0,1633.0,0.0>,<682.0,1628.0,66.0>,<679.6013,1617.804,78.0>,<677.29816,1602.385,89.0>,<675.0,1584.0824,100.0>,<673.3242,1560.8905,111.0>,<670.3224,1533.8363,122.0>,<667.33734,1504.0598,134.0>,<664.6956,1466.3474,145.0>,<662.34076,1420.4961,156.0>,<661.0,1378.0527,167.0>,<663.5869,1339.3588,178.0>,<672.1941,1303.5013,189.0>,<678.27795,1276.6932,200.0>,<682.2545,1251.8455,211.0>,<686.8225,1227.71,222.0>,<692.86304,1203.5479,234.0>,<697.8431,1178.6277,245.0>,<702.7596,1153.3752,256.0>,<708.17755,1127.9346,267.0>,<715.27563,1105.3109,278.0>,<722.2631,1086.908,289.0>,<728.152,1070.9681,300.0>,<733.13184,1058.1704,311.0>,<737.0968,1048.258,322.0>,<740.5603,1039.1985,334.0>,<744.118,1030.764,345.0>,<747.0694,1022.8612,356.0>,<750.0854,1014.8292,367.0>,<752.52435,1007.9026,378.0>,<755.081,1001.37854,389.0>,<758.53156,995.4054,400.0>,<762.0565,989.4153,411.0>,<766.06116,984.4082,422.0>,<770.5675,980.95496,434.0>,<776.54675,977.4844,445.0>,<783.0,976.0,453.0>,<783.0,976.0,458.0>,
amusement_0720;P;<656.0,1554.0,0.0>,<645.0,1521.0,32.0>,<635.2847,1486.2338,45.0>,<625.1561,1444.1477,56.0>,<619.60474,1400.8496,67.0>,<618.0,1366.179,78.0>,<621.40216,1318.9786,89.0>,<630.1236,1278.5675,100.0>,<640.0229,1233.9084,111.0>,<651.7512,1189.0676,122.0>,<669.6187,1145.4244,133.0>,<684.25964,1114.1768,145.0>,<693.8404,1085.4789,156.0>,<706.19366,1052.6964,167.0>,<718.81256,1029.6458,178.0>,<735.0356,1012.77515,189.0>,<739.0,1010.0,191.0>,<739.0,1010.0,197.0>,
fear_0708;N;<714.0,1584.0,0.0>,<713.0,1577.0,86.0>,<708.6532,1553.266,101.0>,<705.6504,1530.9025,112.0>,<702.64197,1499.4198,123.0>,<699.3312,1448.9413,134.0>,<697.3624,1395.786,145.0>,<696.0,1338.452,157.0>,<699.0349,1282.6859,168.0>,<705.03424,1231.7603,179.0>,<713.0314,1194.4889,190.0>,<722.29895,1163.763,201.0>,<730.31256,1133.7249,212.0>,<740.40063,1105.1583,223.0>,<750.93933,1078.8082,235.0>,<761.31836,1051.7085,246.0>,<771.6184,1027.1448,257.0>,<781.3946,1005.2108,268.0>,<791.2855,989.40027,279.0>,<802.2581,976.74194,290.0>,<811.71533,965.60583,301.0>,<819.68677,954.6416,312.0>,<829.4685,945.2252,324.0>,<838.0,940.0,331.0>,<838.0,940.0,336.0>,
fear_0930;N;<771.0,1546.0,0.0>,<769.0,1541.0,80.0>,<764.6189,1529.4757,90.0>,<759.8977,1511.2917,101.0>,<754.9763,1473.8108,112.0>,<750.2897,1420.1108,123.0>,<749.70044,1358.1859,135.0>,<754.116,1287.6077,146.0>,<765.8869,1216.2635,157.0>,<776.4706,1166.0352,168.0>,<786.53143,1125.5804,179.0>,<797.39307,1098.1781,190.0>,<807.37506,1073.8998,201.0>,<815.7687,1052.3861,213.0>,<823.0645,1033.1184,224.0>,<830.0221,1014.9337,235.0>,<837.05225,996.52747,246.0>,<844.06323,980.49805,257.0>,<850.0372,966.92566,268.0>,<856.7614,954.8578,279.0>,<863.7457,944.2543,291.0>,<871.76385,936.2361,302.0>,<879.08624,928.9138,313.0>,<886.8192,922.8856,324.0>,<894.84924,918.5753,335.0>,<896.0,918.0,337.0>,<896.0,918.0,342.0>,
excitement_0167;P;<733.0,1563.0,0.0>,<731.0,1540.0,78.0>,<728.33344,1463.3364,92.0>,<727.6688,1393.2528,104.0>,<734.9231,1316.5,115.0>,<747.98346,1250.4023,126.0>,<759.54626,1208.6602,137.0>,<767.9116,1180.7164,148.0>,<772.8699,1157.7671,159.0>,<778.2238,1138.4928,170.0>,<782.84216,1120.0876,181.0>,<790.4596,1102.466,192.0>,<798.4213,1084.5521,204.0>,<806.3642,1067.2716,215.0>,<813.79285,1051.8168,226.0>,<819.19434,1038.417,237.0>,<824.79474,1028.0088,248.0>,<830.7882,1019.01965,259.0>,<837.387,1010.6129,270.0>,<842.0,1006.0,278.0>,<842.0,1006.0,283.0>,
excitement_0181;P;<739.0,1440.0,0.0>,<740.0,1436.0,99.0>,<741.0,1423.0306,114.0>,<741.0,1410.385,125.0>,<740.0,1392.4386,136.0>,<741.0,1371.275,148.0>,<742.60925,1346.0797,159.0>,<745.26434,1317.5173,170.0>,<747.5932,1289.6952,181.0>,<751.5577,1262.75,192.0>,<755.1209,1234.1536,203.0>,<760.1122,1206.2147,214.0>,<764.6446,1179.3253,225.0>,<770.18036,1152.3278,236.0>,<776.12024,1126.1093,248.0>,<785.6084,1101.7397,259.0>,<794.0893,1080.2544,270.0>,<801.2562,1059.3594,281.0>,<806.5345,1042.9081,292.0>,<811.5309,1027.428,303.0>,<817.5015,1014.49646,314.0>,<822.0917,1002.2709,325.0>,<826.0003,992.49927,336.0>,<830.4925,983.01,348.0>,<835.6493,974.8009,359.0>,<841.4579,968.05615,370.0>,<846.95966,961.0404,381.0>,<855.34515,957.0619,392.0>,<858.0,956.0,395.0>,<858.0,956.0,401.0>,
disgust_0790;N;<750.0,1442.0,0.0>,<750.0,1439.0,66.0>,<750.0,1429.7098,79.0>,<750.0,1418.475,92.0>,<750.0,1407.7455,103.0>,<750.0,1394.0133,114.0>,<750.72034,1379.2375,125.0>,<751.0,1363.1685,137.0>,<752.0,1344.5573,148.0>,<754.74603,1325.5397,159.0>,<757.74896,1305.5103,170.0>,<760.4717,1285.6416,181.0>,<763.48627,1266.3119,193.0>,<766.4782,1247.348,204.0>,<769.48193,1229.3312,215.0>,<773.4879,1213.7922,226.0>,<777.4625,1198.1498,237.0>,<782.2421,1183.7684,248.0>,<788.9451,1169.846,259.0>,<794.2053,1158.3245,271.0>,<800.20807,1148.3198,282.0>,<804.48303,1139.2924,293.0>,<808.4848,1128.288,304.0>,<811.47504,1118.3124,315.0>,<814.46936,1108.3265,326.0>,<816.74457,1099.0217,337.0>,<818.74054,1091.0378,349.0>,<820.7396,1085.5208,360.0>,<822.7434,1080.5132,371.0>,<824.74115,1077.5177,382.0>,<826.74506,1074.5099,393.0>,<828.753,1072.247,404.0>,<831.50726,1071.0,415.0>,<832.0,1071.0,417.0>,<832.0,1071.0,423.0>,
amusement_0514;P;<721.0,1434.0,0.0>,<716.0,1401.0,34.0>,<716.86365,1313.3638,48.0>,<729.53174,1234.3413,59.0>,<746.45996,1173.5051,70.0>,<767.3971,1105.3872,82.0>,<781.9666,1065.7764,93.0>,<791.5032,1042.9937,104.0>,<801.4523,1025.4763,115.0>,<808.3451,1007.60205,126.0>,<814.97723,991.3865,137.0>,<820.00305,981.3292,148.0>,<823.31335,974.03,159.0>,<826.6475,968.0575,170.0>,<829.6348,963.73035,182.0>,<832.6331,959.1007,193.0>,<834.6412,954.71765,204.0>,<836.6232,950.3767,215.0>,<839.6226,949.0,226.0>,<843.23145,947.3843,237.0>,<848.47455,947.0,248.0>,<850.0,947.0,250.0>,<850.0,947.0,256.0>,
awe_0863;P;<731.0,1424.0,0.0>,<730.0,1416.0,58.0>,<729.0,1397.7185,67.0>,<731.32965,1362.3741,78.0>,<738.73157,1312.6106,90.0>,<746.7525,1266.173,101.0>,<755.3706,1223.5176,112.0>,<763.7578,1186.2794,123.0>,<769.97955,1156.0819,134.0>,<776.04004,1134.5199,145.0>,<780.04346,1116.5508,156.0>,<790.3556,1101.6311,168.0>,<798.0077,1084.9768,179.0>,<802.3375,1069.3186,190.0>,<806.98785,1058.6869,201.0>,<810.3132,1049.717,212.0>,<812.64484,1042.0654,223.0>,<815.6559,1035.0323,234.0>,<818.64545,1029.0636,246.0>,<821.29504,1023.0575,257.0>,<823.648,1017.056,268.0>,<826.297,1010.05444,279.0>,<830.2902,1005.0647,290.0>,<835.29626,1000.70374,301.0>,<843.84247,1000.6404,312.0>,<846.0,1001.0,314.0>,<846.0,1001.0,320.0>,
disgust_0772;N;<637.0,1384.0,0.0>,<638.0,1339.0,32.0>,<642.35944,1268.0695,47.0>,<648.7227,1205.5798,58.0>,<660.1288,1158.5707,69.0>,<676.86206,1111.8867,80.0>,<687.71814,1078.807,92.0>,<696.40845,1053.5015,103.0>,<703.8866,1034.3403,114.0>,<708.3385,1017.3153,125.0>,<712.2544,1006.4912,136.0>,<717.00146,998.99854,147.0>,<722.8242,994.1758,158.0>,<728.2852,988.07227,169.0>,<734.7917,982.20825,180.0>,<744.2016,974.4387,192.0>,<754.12946,967.49646,203.0>,<756.0,966.0,205.0>,<756.0,966.0,210.0>,
disgust_0804;N;<743.0,1475.0,0.0>,<742.0,1469.0,82.0>,<741.3264,1455.6113,92.0>,<739.3233,1437.2329,103.0>,<737.3595,1413.6738,114.0>,<735.34033,1374.1678,125.0>,<733.6385,1327.6761,136.0>,<738.93274,1280.5382,147.0>,<746.54095,1233.1189,158.0>,<754.5198,1183.8812,169.0>,<759.6332,1144.6028,181.0>,<765.87036,1108.1542,192.0>,<775.8455,1072.187,203.0>,<788.26215,1038.0846,214.0>,<801.566,1013.4624,225.0>,<812.95746,989.902,236.0>,<822.3109,968.8004,247.0>,<831.3508,951.29834,258.0>,<839.32983,935.92285,269.0>,<846.07794,922.8832,281.0>,<852.6955,912.1742,292.0>,<858.7048,901.7269,303.0>,<866.2181,892.78186,314.0>,<873.6836,883.194,325.0>,<880.6871,875.31287,336.0>,<886.6703,868.77295,347.0>,<892.6532,863.8978,358.0>,<897.0808,860.4596,369.0>,<901.0,860.0,378.0>,<901.0,860.0,383.0>,
awe_0850;P;<685.0,1506.0,0.0>,<684.0,1499.0,39.0>,<679.2797,1473.0767,54.0>,<676.2426,1443.3671,65.0>,<671.5141,1391.9684,76.0>,<671.7418,1328.262,87.0>,<678.962,1261.0828,98.0>,<687.67847,1189.5149,109.0>,<700.1776,1117.3722,120.0>,<714.86053,1066.151,132.0>,<730.84283,1029.584,143.0>,<745.1379,999.72424,154.0>,<755.645,974.25195,165.0>,<764.91614,954.4387,176.0>,<774.6676,936.13184,187.0>,<783.9206,919.1588,198.0>,<793.6071,904.9501,209.0>,<804.3388,891.66125,221.0>,<817.75806,878.6814,232.0>,<820.0,877.0,233.0>,<820.0,877.0,239.0>,
amusement_0529;P;<692.0,1380.0,0.0>,<692.0,1373.0,82.0>,<691.0,1358.398,92.0>,<690.0,1329.7084,103.0>,<690.6654,1277.369,114.0>,<692.6582,1218.2534,125.0>,<697.93933,1155.3137,136.0>,<708.5199,1093.6292,147.0>,<723.6625,1041.4166,158.0>,<739.358,1011.28406,170.0>,<750.8261,985.3478,181.0>,<761.47156,964.20325,192.0>,<770.5049,943.7378,203.0>,<780.7273,926.0303,214.0>,<793.25433,909.13794,225.0>,<807.2246,895.9824,236.0>,<810.0,894.0,238.0>,<810.0,894.0,244.0>,
amusement_0718;P;<716.93115,1253.9984,79.0>,<728.2389,1166.6232,94.0>,<747.1227,1105.6729,106.0>,<763.49554,1058.5134,117.0>,<780.75903,1014.80615,128.0>,<803.13055,977.1941,139.0>,<808.0,972.0,141.0>,<808.0,972.0,146.0>,
excitement_0178;P;<782.0,1388.0,0.0>,<781.0,1379.0,65.0>,<779.34906,1362.8395,75.0>,<778.0,1338.9302,86.0>,<776.31335,1301.2068,97.0>,<776.0,1245.7987,108.0>,<777.6847,1190.8295,119.0>,<784.3538,1136.2188,130.0>,<798.095,1081.5725,141.0>,<822.34454,1009.973,164.0>,<830.69666,984.23596,175.0>,<838.71533,961.53284,186.0>,<846.71277,943.89624,197.0>,<855.67975,927.3104,208.0>,<864.3949,913.92615,219.0>,<873.703,903.297,231.0>,<882.7348,895.26514,242.0>,<888.0,889.0,249.0>,<888.0,889.0,255.0>,
amusement_0743;P;<772.0,1433.0,0.0>,<771.0,1424.0,80.0>,<769.35535,1406.9087,89.0>,<767.3386,1374.1267,100.0>,<764.33435,1317.0298,111.0>,<764.0,1259.0413,122.0>,<764.65094,1200.4727,134.0>,<768.2934,1139.3058,145.0>,<776.5055,1081.8398,156.0>,<787.816,1040.188,167.0>,<798.7955,1006.8788,178.0>,<811.7386,978.2766,189.0>,<822.7128,953.19324,200.0>,<834.0351,931.9298,211.0>,<845.0942,911.81165,222.0>,<854.9334,893.71985,234.0>,<863.3766,877.84094,245.0>,<870.7727,865.4546,256.0>,<877.7716,855.6378,267.0>,<883.70123,847.7317,278.0>,<890.72766,842.84827,289.0>,<898.28174,839.42957,300.0>,<905.6708,836.4431,311.0>,<910.0,835.0,319.0>,<910.0,835.0,325.0>,
fear_0677;N;<728.0,1577.0,0.0>,<722.0,1559.0,66.0>,<710.2684,1490.2444,81.0>,<704.62006,1436.3707,92.0>,<701.32135,1375.605,103.0>,<703.36145,1301.4515,114.0>,<707.9961,1237.7081,126.0>,<722.17505,1173.4749,137.0>,<734.5556,1121.73,148.0>,<750.01196,1077.8436,159.0>,<764.49854,1039.4324,170.0>,<776.83453,1007.4137,181.0>,<789.4171,979.1658,192.0>,<802.72327,954.55347,203.0>,<814.6551,934.51733,214.0>,<824.4318,918.7444,226.0>,<832.42413,906.3638,237.0>,<839.1742,896.0646,248.0>,<844.7636,885.06067,259.0>,<852.36206,876.63794,270.0>,<854.0,875.0,272.0>,<854.0,875.0,278.0>,
excitement_0206;P;<728.0,1477.0,0.0>,<706.0,1443.0,41.0>,<696.8029,1420.0098,48.0>,<687.2213,1381.3013,59.0>,<687.0,1348.8027,70.0>,<688.3941,1302.2709,81.0>,<690.68286,1257.0259,92.0>,<694.38275,1218.1722,103.0>,<698.33826,1180.2865,114.0>,<703.3757,1141.6189,125.0>,<709.6479,1108.7465,136.0>,<714.31,1074.52,148.0>,<723.59863,1043.255,159.0>,<736.79205,1018.4159,170.0>,<746.2078,998.58435,181.0>,<754.539,980.28735,192.0>,<762.54254,963.9149,203.0>,<769.4064,947.5857,214.0>,<778.0886,931.6759,225.0>,<787.1577,917.2107,236.0>,<797.065,904.709,248.0>,<808.7205,894.51965,259.0>,<817.0,889.0,266.0>,<817.0,889.0,272.0>,
amusement_0542;P;<701.0,1450.0,0.0>,<703.0,1412.0,44.0>,<710.69586,1328.085,56.0>,<724.77954,1230.738,67.0>,<747.9317,1120.9603,79.0>,<780.19684,1033.4961,90.0>,<807.63477,974.4833,101.0>,<827.0,953.0,108.0>,<827.0,953.0,114.0>,
amusement_0719;P;<765.0,1403.0,0.0>,<759.0,1361.0,33.0>,<756.1128,1309.0303,45.0>,<760.8029,1230.3685,56.0>,<768.69775,1150.1971,67.0>,<784.9011,1089.2966,78.0>,<805.7385,1024.8275,89.0>,<824.99963,985.00073,100.0>,<838.6819,951.27246,112.0>,<849.9181,926.46985,123.0>,<860.189,907.25977,134.0>,<870.5441,892.75415,145.0>,<882.5292,884.4708,156.0>,<892.5609,878.07935,167.0>,<894.0,877.0,169.0>,<894.0,877.0,175.0>,
anger_0274;N;<779.0,1341.0,0.0>,<769.0,1303.0,33.0>,<761.36774,1243.0989,51.0>,<759.3197,1203.312,62.0>,<761.3455,1155.5265,73.0>,<768.34894,1111.2645,84.0>,<776.36597,1073.8826,95.0>,<787.61664,1039.7882,106.0>,<804.82416,1006.6459,117.0>,<818.17365,978.74854,128.0>,<827.48395,957.411,139.0>,<831.25507,938.97986,151.0>,<836.88007,925.8666,162.0>,<843.2262,916.5476,173.0>,<847.8197,909.1803,184.0>,<852.2137,902.17944,195.0>,<856.189,895.62195,206.0>,<860.1866,889.2202,217.0>,<864.75366,881.66174,228.0>,<870.3726,873.6273,239.0>,<878.36096,868.22925,251.0>,<885.0,866.0,259.0>,<885.0,866.0,264.0>,
anger_0249;N;<712.0,1493.0,0.0>,<699.0,1454.0,41.0>,<685.433,1386.0308,59.0>,<682.6184,1348.7302,70.0>,<679.31116,1299.7784,81.0>,<679.0,1254.087,92.0>,<679.6715,1215.5704,103.0>,<683.66614,1177.6775,115.0>,<688.6605,1139.6927,126.0>,<696.34094,1108.6453,137.0>,<702.3202,1082.4188,148.0>,<705.64484,1065.1311,159.0>,<709.3017,1054.7458,170.0>,<712.63336,1046.4666,181.0>,<716.24615,1038.5077,192.0>,<719.24994,1030.5001,203.0>,<722.8606,1022.51917,215.0>,<728.87256,1016.12744,226.0>,<735.4838,1010.75806,237.0>,<737.0,1010.0,239.0>,<737.0,1010.0,244.0>,
amusement_0524;P;<716.0,1455.0,0.0>,<710.0,1421.0,42.0>,<701.64197,1357.2407,60.0>,<697.59204,1318.6964,71.0>,<695.33026,1266.9163,82.0>,<696.68567,1216.6014,93.0>,<701.0357,1174.7501,104.0>,<706.69104,1131.8718,115.0>,<714.7012,1089.8188,126.0>,<727.53217,1054.2384,137.0>,<740.17487,1028.2853,148.0>,<748.63074,1008.0808,160.0>,<754.271,991.9159,171.0>,<759.237,977.67053,182.0>,<764.85394,966.2921,193.0>,<770.8283,956.56226,204.0>,<775.83203,946.94666,215.0>,<780.0,937.5,226.0>,<786.0,932.0,234.0>,<786.0,932.0,239.0>,
fear_0910;N;<664.0,1527.0,0.0>,<658.0,1491.0,44.0>,<657.0,1456.4637,56.0>,<660.6405,1419.7976,67.0>,<673.6484,1381.719,78.0>,<679.70447,1339.4492,89.0>,<687.33844,1298.3109,100.0>,<695.0245,1248.4547,111.0>,<704.44183,1190.6606,123.0>,<717.0148,1131.9261,134.0>,<735.0621,1074.1401,145.0>,<755.7766,1019.0255,156.0>,<774.41296,970.791,167.0>,<791.02405,934.29065,178.0>,<808.89905,904.8237,189.0>,<824.6298,879.7246,200.0>,<838.70746,857.60254,212.0>,<854.23285,838.7672,223.0>,<871.1471,822.8529,234.0>,<886.3562,808.31335,245.0>,<900.56866,796.7367,256.0>,<913.91235,786.73975,267.0>,<926.0022,779.3319,278.0>,<928.0,778.0,280.0>,<928.0,778.0,286.0>,
anger_0270;N;<691.0,1469.0,0.0>,<678.0,1439.0,33.0>,<665.2045,1385.8296,48.0>,<658.37225,1333.5593,59.0>,<666.46216,1284.4572,70.0>,<680.55664,1214.6897,81.0>,<692.36334,1158.838,92.0>,<703.04803,1109.4827,104.0>,<714.0036,1063.9873,115.0>,<728.6717,1024.991,126.0>,<746.2751,991.4498,137.0>,<759.97815,963.0437,148.0>,<769.2153,941.56946,159.0>,<780.223,923.84314,170.0>,<790.2027,910.15674,181.0>,<798.5297,898.83777,192.0>,<807.1853,889.4518,204.0>,<814.8855,880.48596,215.0>,<820.84467,873.1554,226.0>,<825.22253,867.16626,237.0>,<830.21124,861.7888,248.0>,<834.7565,856.829,259.0>,<840.3981,854.4005,270.0>,<842.0,854.0,272.0>,<842.0,854.0,278.0>,
awe_0049;P;<679.0,1441.0,0.0>,<673.0,1399.0,31.0>,<671.0,1318.4047,46.0>,<674.5683,1239.6123,57.0>,<683.12463,1174.44,68.0>,<700.75476,1092.981,79.0>,<719.06885,1037.142,90.0>,<742.65674,998.68054,101.0>,<759.6124,974.0929,112.0>,<770.96906,954.0464,124.0>,<780.594,936.812,135.0>,<790.24896,921.4514,146.0>,<801.1816,908.1821,157.0>,<810.4928,896.88403,168.0>,<818.48676,886.8915,179.0>,<825.47675,879.14246,190.0>,<832.4906,872.1321,201.0>,<837.8399,864.54675,212.0>,<844.8252,858.1748,224.0>,<851.81287,852.18713,235.0>,<858.0,849.0,242.0>,<858.0,849.0,248.0>,
amusement_0512;P;<709.0,1419.0,0.0>,<698.0,1375.0,31.0>,<692.3968,1334.6567,41.0>,<690.63763,1285.4846,52.0>,<690.5601,1209.5569,63.0>,<701.3553,1126.8931,74.0>,<725.3868,1058.2151,85.0>,<747.7699,1013.7833,96.0>,<766.39886,976.85254,107.0>,<783.9192,947.4501,119.0>,<801.09454,923.55115,130.0>,<817.6582,904.6763,141.0>,<829.2515,891.74854,152.0>,<838.2307,883.4154,163.0>,<845.9258,876.4324,174.0>,<851.316,868.36804,185.0>,<856.97876,861.3617,196.0>,<862.58856,855.7057,208.0>,<864.0,855.0,210.0>,<864.0,855.0,215.0>,
fear_0679;N;<740.0,1578.0,0.0>,<737.0,1569.0,66.0>,<730.4791,1544.6207,78.0>,<719.78235,1492.5057,89.0>,<711.89734,1428.5719,100.0>,<707.3081,1364.1671,111.0>,<706.0,1299.8359,123.0>,<710.7462,1232.9703,134.0>,<716.02496,1177.1003,145.0>,<726.34204,1126.6266,156.0>,<741.3345,1086.3307,167.0>,<756.64075,1050.0667,178.0>,<769.9388,1016.4967,189.0>,<781.7944,988.1465,200.0>,<794.4576,962.3584,211.0>,<806.77454,941.33826,223.0>,<817.5874,924.8252,234.0>,<825.87646,912.2471,245.0>,<831.8975,900.8374,256.0>,<837.85864,891.9022,267.0>,<841.8705,883.1295,278.0>,<846.8888,877.1112,289.0>,<849.0,874.0,297.0>,<849.0,874.0,302.0>,
awe_0039;P;<724.0,1517.0,0.0>,<721.0,1510.0,71.0>,<715.6753,1486.3766,86.0>,<711.6256,1464.7537,97.0>,<707.59717,1438.1802,108.0>,<703.61334,1403.0532,119.0>,<699.3187,1348.6056,131.0>,<697.0,1295.2817,142.0>,<696.0,1243.9874,153.0>,<697.6794,1196.016,164.0>,<702.6987,1152.5304,175.0>,<708.9879,1119.398,186.0>,<713.3499,1092.9004,197.0>,<718.9687,1072.4377,208.0>,<723.96735,1053.098,220.0>,<730.60834,1036.4354,231.0>,<739.24677,1021.4546,242.0>,<746.99554,1008.0089,253.0>,<753.0313,996.6145,264.0>,<758.317,985.7075,275.0>,<763.3198,975.70044,286.0>,<769.6524,967.0106,298.0>,<771.0,966.0,299.0>,<771.0,966.0,305.0>,
excitement_0202;P;<706.0,1504.0,0.0>,<704.0,1499.0,57.0>,<701.60876,1488.8263,70.0>,<695.1905,1468.5714,81.0>,<686.6317,1438.3696,92.0>,<679.2124,1397.6681,103.0>,<675.3155,1349.202,114.0>,<677.0151,1297.2227,125.0>,<681.0258,1256.2515,136.0>,<689.9795,1215.8033,147.0>,<696.69885,1175.5059,159.0>,<703.31024,1139.8281,170.0>,<708.30914,1110.1814,181.0>,<714.5692,1082.65,192.0>,<722.55524,1058.3344,203.0>,<732.0839,1037.8322,214.0>,<741.45764,1017.85596,225.0>,<750.44214,1000.1157,236.0>,<757.8147,985.7656,247.0>,<763.8329,973.3342,259.0>,<769.1918,963.61646,270.0>,<773.7942,955.60767,281.0>,<778.17316,946.6537,292.0>,<783.715,937.1417,303.0>,<791.2365,928.7634,314.0>,<801.8499,922.9,325.0>,<805.0,922.0,328.0>,<805.0,922.0,333.0>,
fear_0925;N;<696.0,1514.0,0.0>,<679.0,1478.0,32.0>,<659.97485,1405.619,47.0>,<653.5591,1334.2842,58.0>,<656.4014,1278.0737,69.0>,<669.22644,1210.8616,81.0>,<682.4325,1165.2104,92.0>,<693.03973,1124.8809,103.0>,<705.9964,1086.6787,114.0>,<719.4184,1051.2695,125.0>,<737.0703,1021.76074,136.0>,<748.5804,1002.83923,147.0>,<756.478,987.66345,158.0>,<762.25555,975.2334,169.0>,<767.23334,965.5333,181.0>,<771.2415,957.51697,192.0>,<776.8332,950.16675,203.0>,<782.2013,943.198,214.0>,<787.79407,936.20593,225.0>,<792.81146,930.1886,236.0>,<797.0,927.0,244.0>,<797.0,927.0,249.0>,
excitement_0238;P;<708.0,1389.0,0.0>,<709.0,1379.0,74.0>,<713.04236,1338.023,89.0>,<720.6897,1282.8102,100.0>,<728.34186,1218.6122,111.0>,<739.6205,1156.691,122.0>,<750.5848,1095.351,134.0>,<766.22144,1036.0723,145.0>,<780.02954,993.42615,156.0>,<797.59546,960.4656,167.0>,<811.93866,936.59204,178.0>,<828.93164,915.83545,189.0>,<843.3338,896.428,200.0>,<856.9514,879.0486,211.0>,<871.14954,863.85046,222.0>,<883.53186,851.46814,234.0>,<894.9328,841.06714,245.0>,<906.5647,832.62354,256.0>,<917.8572,824.71423,267.0>,<928.46545,817.2672,278.0>,<937.3119,810.2661,289.0>,<942.0,806.0,297.0>,<942.0,806.0,303.0>,
disgust_0764;N;<773.0,1698.0,0.0>,<767.0,1683.0,74.0>,<743.9291,1611.4146,89.0>,<726.5513,1531.3511,100.0>,<715.00507,1434.0859,112.0>,<713.97736,1328.0667,123.0>,<727.2104,1247.5533,134.0>,<742.5148,1178.7161,145.0>,<759.16364,1117.2817,156.0>,<774.52637,1062.1877,167.0>,<792.5992,1015.9679,178.0>,<814.19244,979.09204,189.0>,<833.63855,951.48193,200.0>,<850.91925,932.0808,212.0>,<863.5648,919.0293,223.0>,<874.9793,909.6166,234.0>,<883.377,902.8115,245.0>,<889.71893,898.854,256.0>,<895.1639,893.8362,267.0>,<899.1252,889.8749,278.0>,<902.5689,884.2932,289.0>,<906.69727,877.30273,300.0>,<913.3082,871.2688,312.0>,<915.0,870.0,314.0>,<915.0,870.0,319.0>,
awe_0829;P;<669.0,1395.0,0.0>,<649.0,1355.0,33.0>,<628.7737,1306.8789,45.0>,<606.295,1247.393,56.0>,<594.0247,1191.9283,67.0>,<588.25964,1152.1875,78.0>,<585.6836,1109.0627,89.0>,<590.0555,1077.1854,100.0>,<596.3277,1047.6825,112.0>,<603.3196,1018.76306,123.0>,<607.9643,991.48804,134.0>,<612.92786,965.6459,145.0>,<615.6369,946.26807,156.0>,<619.24036,932.27893,167.0>,<621.62726,919.86365,178.0>,<624.2351,911.5298,189.0>,<626.0,903.55347,200.0>,<627.0,895.5614,212.0>,<628.614,886.54407,223.0>,<632.2051,878.58984,234.0>,<636.767,870.05493,245.0>,<642.0,865.0,253.0>,<642.0,865.0,258.0>,
